YYY,MM,DD,HH,NAME,stLON,stLAT,MARlon,MARlat,100m,load_factor
YYY,MM,DD,HH,NAME,stLON,stLAT,MARlon,MARlat,0.0,0.0
2015,1,10,10,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.67,0.18289063070563927
2015,1,10,11,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.14,0.030870859125664736
2015,1,10,12,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.69,0.050519857150064525
2015,1,10,13,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.71,0.051338649478562565
2015,1,10,14,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.83,0.020804339125280204
2015,1,10,15,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.25,0.004454171071350865
2015,1,10,16,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.87,0.0
2015,1,10,17,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.58,0.04618741636342164
2015,1,10,18,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.02,0.06553946848277648
2015,1,10,19,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.67,0.18289063070563927
2015,1,10,20,offshore1,-45.343079,60.385963,-45.454914,60.370075,9.16,0.49191807115315783
2015,1,10,21,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.85,0.3097158422974042
2015,1,10,22,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.28,0.07996177319502976
2015,1,10,23,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.5,0.0937576684884963
2015,1,11,0,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.73,0.017625729782225142
2015,1,11,1,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.22,0.0
2015,1,11,2,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.65,0.10385340724106479
2015,1,11,3,offshore1,-45.343079,60.385963,-45.454914,60.370075,10.74,0.7301454356036915
2015,1,11,4,offshore1,-45.343079,60.385963,-45.454914,60.370075,13.84,0.9983502829223425
2015,1,11,5,offshore1,-45.343079,60.385963,-45.454914,60.370075,14.67,1.0
2015,1,11,6,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.76,0.9646384262948515
2015,1,11,7,offshore1,-45.343079,60.385963,-45.454914,60.370075,11.65,0.8625394358932074
2015,1,11,8,offshore1,-45.343079,60.385963,-45.454914,60.370075,10.79,0.7374694969243367
2015,1,11,9,offshore1,-45.343079,60.385963,-45.454914,60.370075,9.93,0.610440936704281
2015,1,11,10,offshore1,-45.343079,60.385963,-45.454914,60.370075,9.06,0.47678555125892
2015,1,11,11,offshore1,-45.343079,60.385963,-45.454914,60.370075,8.19,0.3535387841123389
2015,1,11,12,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.93,0.2068438430245872
2015,1,11,13,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.49,0.09310307802740758
2015,1,11,14,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.9,0.05967545476737898
2015,1,11,15,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.26,0.07877512423077203
2015,1,11,16,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.65,0.10385340724106479
2015,1,11,17,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.8,0.11440946256080915
2015,1,11,18,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.29,0.15126296438153122
2015,1,11,19,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.75,0.1900322746123345
2015,1,11,20,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.41,0.25723278519035203
2015,1,11,21,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.75,0.2973319193128228
2015,1,11,22,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.27,0.24172434061712647
2015,1,11,23,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.0,0.2136842105263158
2015,1,12,0,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.77,0.1918480605649494
2015,1,12,1,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.83,0.11656839567643053
2015,1,12,2,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.56,0.04542828980047264
2015,1,12,3,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.54,0.044677195257705506
2015,1,12,4,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.36,0.03822830283296077
2015,1,12,5,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.89,0.05920919540365644
2015,1,12,6,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.16,0.03152556365318843
2015,1,12,7,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.86,0.0
2015,1,12,8,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.45,0.0
2015,1,12,9,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.18,0.0
2015,1,12,10,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.77,0.0014452446471450147
2015,1,12,11,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.74,0.0016083972049206628
2015,1,12,12,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.63,0.0
2015,1,12,13,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.23,0.004021420501995258
2015,1,12,14,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.48,0.0
2015,1,12,15,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.27,0.0022623011918187267
2015,1,12,16,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.56,0.0023540782375554
